UserID,No_of_days_Visited_7_Days,No_Of_Products_Viewed_15_Days,User_Vintage,Most_Viewed_product_15_Days,Most_Active_OS,Recently_Viewed_Product,Pageloads_last_7_days,Clicks_last_7_days
U100047,0.0,1.0,320,Product101,WINDOWS,Product101,0.0,0.0
U100048,0.0,1.0,81,Product101,MAC OS X,PR100080,0.0,0.0
U100049,0.0,0.0,222,Product101,ANDROID,PR100025,0.0,0.0
U100050,5.0,4.0,64,PR100178,WINDOWS,PR100178,28.0,18.0
U100051,2.0,5.0,2257,PR100089,ANDROID,PR100316,6.0,0.0
U100052,0.0,2.0,97,PR100069,LINUX,PR100069,0.0,0.0
U100053,0.0,0.0,49,Product101,WINDOWS,PR100268,0.0,0.0
U100054,0.0,1.0,1472,Product101,['ANDROID' 'LINUX'],PR101320,0.0,0.0
U100056,1.0,1.0,93,PR100430,ANDROID,PR100430,1.0,0.0
U100057,1.0,1.0,50,PR100184,ANDROID,PR100184,1.0,0.0
U100058,5.0,3.0,889,PR100166,WINDOWS,PR100166,8.0,0.0
U100059,1.0,1.0,499,Product101,ANDROID,Product101,0.0,0.0
U100061,1.0,3.0,57,PR100642,ANDROID,PR100025,1.0,0.0
U100062,0.0,0.0,65,Product101,WINDOWS,Product101,0.0,0.0
U100063,2.0,5.0,1066,PR100025,MAC OS X,PR100025,2.0,0.0
U100065,1.0,4.0,655,PR100047,ANDROID,PR100047,2.0,2.0
U100066,2.0,2.0,154,PR100498,ANDROID,PR100498,2.0,0.0
U100067,2.0,1.0,506,PR100102,ANDROID,PR100102,4.0,24.0
U100068,1.0,1.0,273,PR100498,ANDROID,PR100498,1.0,0.0
U100069,3.0,6.0,1778,PR100965,WINDOWS,PR100210,7.0,25.0
U100070,4.0,23.0,585,PR100102,WINDOWS,PR100044,27.0,41.0
U100071,0.0,11.0,89,PR100430,ANDROID,PR100430,0.0,0.0
U100072,0.0,0.0,66,Product101,ANDROID,Product101,0.0,0.0
U100073,2.0,1.0,85,PR100178,WINDOWS,PR100178,2.0,0.0
U100074,0.0,1.0,46,PR100341,LINUX,PR100341,0.0,0.0
U100075,1.0,1.0,465,PR100189,LINUX,PR101618,2.0,0.0
U100076,0.0,2.0,85,PR102602,ANDROID,PR100025,0.0,0.0
U100077,0.0,5.0,1058,PR100101,ANDROID,PR100101,0.0,0.0
U100078,3.0,7.0,75,PR101529,ANDROID,PR101529,3.0,2.0
U100079,2.0,3.0,48,PR100060,MAC OS X,PR100199,4.0,7.0
U100080,4.0,8.0,252,PR100366,WINDOWS,PR100275,7.0,31.0
U100081,4.0,34.0,699,PR100072,WINDOWS,PR100089,51.0,51.0
U100082,2.0,6.0,130,PR102075,WINDOWS,PR102075,4.0,1.0
U100083,3.0,4.0,138,PR100340,WINDOWS,PR100340,4.0,4.0
U100084,2.0,8.0,58,PR100073,ANDROID,PR100073,7.0,1.0
U100085,1.0,3.0,67,PR100047,WINDOWS,PR100994,1.0,0.0
U100086,0.0,0.0,379,Product101,WINDOWS,PR100901,0.0,0.0
U100088,2.0,16.0,45,PR100390,UBUNTU,PR100390,5.0,3.0
U100089,6.0,10.0,1576,PR100962,ANDROID,PR102168,11.0,5.0
U100090,3.0,12.0,747,PR102621,MAC OS X,PR102621,4.0,1.0
U100091,1.0,9.0,108,PR100166,WINDOWS,PR100166,15.0,13.0
U100092,0.0,0.0,476,Product101,MAC OS X,PR100900,0.0,0.0
U100093,1.0,3.0,61,PR100059,WINDOWS,PR100059,4.0,29.0
U100094,0.0,0.0,111,Product101,WINDOWS,PR100274,0.0,0.0
U100095,4.0,12.0,1146,PR100618,MAC OS X,PR100370,8.0,11.0
U100096,6.0,26.0,836,PR100648,WINDOWS,PR100648,55.0,8.0
U100097,1.0,1.0,75,Product101,WINDOWS,PR100146,0.0,2.0
U100098,1.0,14.0,233,PR100404,WINDOWS,PR100404,2.0,4.0
U100100,2.0,4.0,82,PR100086,WINDOWS,PR100086,2.0,17.0
U100101,1.0,1.0,1441,PR100438,WINDOWS,PR100438,1.0,0.0
U100102,4.0,17.0,88,PR100072,MAC OS X,PR100340,36.0,43.0
U100103,0.0,1.0,44,PR100444,WINDOWS,PR100444,0.0,0.0
U100104,0.0,0.0,1173,Product101,WINDOWS,PR101559,0.0,0.0
U100105,4.0,3.0,314,PR100390,WINDOWS,PR100390,11.0,11.0
U100109,0.0,0.0,43,Product101,ANDROID,PR102998,0.0,0.0
U100110,3.0,6.0,447,PR100182,WINDOWS,PR100811,2.0,2.0
U100111,0.0,0.0,348,Product101,WINDOWS,Product101,0.0,0.0
U100112,2.0,2.0,71,PR100676,ANDROID,PR100210,2.0,0.0
U100113,1.0,6.0,163,PR100017,WINDOWS,PR100017,3.0,8.0
U100115,0.0,7.0,50,PR101123,MAC OS X,PR100997,0.0,0.0
U100116,0.0,0.0,48,Product101,MAC OS X,Product101,0.0,0.0
U100117,0.0,0.0,161,Product101,ANDROID,Product101,0.0,0.0
U100118,3.0,6.0,116,PR100390,WINDOWS,PR100123,8.0,13.0
U100119,1.0,1.0,796,PR100146,WINDOWS,PR100146,1.0,0.0
U100122,0.0,0.0,59,Product101,WINDOWS,PR100885,0.0,0.0
U100123,1.0,1.0,244,PR100876,MAC OS X,PR100876,1.0,0.0
U100125,1.0,3.0,547,PR102519,ANDROID,PR102519,2.0,0.0
U100126,1.0,2.0,83,PR101686,ANDROID,PR101686,1.0,0.0
U100127,0.0,0.0,122,Product101,IOS,Product101,0.0,0.0
U100129,1.0,1.0,788,PR100137,MAC OS X,PR100137,1.0,1.0
U100130,1.0,1.0,60,PR100102,WINDOWS,PR100102,1.0,0.0
U100131,1.0,1.0,109,PR100073,ANDROID,PR100073,1.0,0.0
U100132,1.0,2.0,77,Product101,WINDOWS,PR100019,0.0,5.0
U100134,2.0,10.0,485,PR100498,WINDOWS,PR100498,4.0,0.0
U100136,4.0,12.0,155,PR100055,WINDOWS,PR100055,21.0,53.0
U100137,0.0,1.0,49,PR100469,WINDOWS,PR100469,0.0,0.0
U100138,2.0,6.0,142,PR100551,WINDOWS,PR100060,4.0,10.0
U100139,3.0,7.0,321,PR100166,WINDOWS,PR100166,6.0,2.0
U100141,1.0,5.0,57,PR100569,WINDOWS,PR100316,1.0,1.0
U100142,2.0,4.0,455,PR100162,WINDOWS,PR100162,3.0,4.0
U100144,0.0,4.0,66,PR100013,WINDOWS,PR100013,0.0,0.0
U100145,5.0,8.0,112,PR100446,MAC OS X,PR100390,10.0,30.0
U100146,0.0,1.0,117,Product101,ANDROID,Product101,0.0,0.0
U100149,1.0,1.0,297,PR100500,ANDROID,PR100500,1.0,1.0
U100150,1.0,2.0,229,PR101312,ANDROID,PR101312,3.0,0.0
U100151,3.0,7.0,319,PR100273,WINDOWS,PR100273,4.0,8.0
U100152,2.0,4.0,751,PR100758,WINDOWS,PR100758,4.0,8.0
U100156,2.0,2.0,149,Product101,ANDROID,Product101,0.0,3.0
U100157,1.0,1.0,157,PR100355,WINDOWS,PR100355,1.0,1.0
U100158,2.0,14.0,1190,PR100557,WINDOWS,PR100557,9.0,5.0
U100159,2.0,2.0,286,PR100014,ANDROID,PR100014,2.0,0.0
U100161,1.0,2.0,425,PR100279,WINDOWS,PR100279,0.0,1.0
U100162,4.0,6.0,945,PR100500,MAC OS X,PR100500,10.0,5.0
U100163,3.0,11.0,1546,PR103498,MAC OS X,PR100811,7.0,9.0
U100164,4.0,11.0,182,PR100072,WINDOWS,PR100390,45.0,48.0
U100165,0.0,0.0,125,Product101,ANDROID,PR100023,0.0,0.0
U100166,1.0,1.0,52,PR100130,ANDROID,PR100130,1.0,0.0
U100167,5.0,24.0,247,PR101746,WINDOWS,PR100210,15.0,16.0
U100168,2.0,4.0,993,PR100102,ANDROID,PR100017,2.0,0.0
U100169,3.0,4.0,235,PR100654,WINDOWS,PR100044,1.0,3.0
U100170,1.0,1.0,63,PR100279,WINDOWS,PR100279,1.0,0.0
U100171,2.0,1.0,111,PR100470,ANDROID,PR100470,4.0,3.0
U100173,1.0,4.0,43,PR100833,WINDOWS,PR100910,1.0,1.0
U100174,4.0,3.0,129,PR100051,WINDOWS,PR100051,9.0,3.0
U100175,1.0,1.0,1920,Product101,WINDOWS,PR100263,0.0,7.0
U100176,3.0,11.0,111,PR100102,ANDROID,PR103636,4.0,34.0
U100177,1.0,1.0,185,PR100475,WINDOWS,PR100475,1.0,0.0
U100178,1.0,1.0,2141,Product101,ANDROID,PR100633,0.0,2.0
U100179,1.0,5.0,160,PR100225,WINDOWS,PR100225,10.0,8.0
U100180,1.0,6.0,84,PR100330,WINDOWS,PR100036,1.0,0.0
U100181,2.0,29.0,266,PR100560,MAC OS X,PR100560,19.0,0.0
U100182,0.0,0.0,48,Product101,ANDROID,PR100317,0.0,0.0
U100183,0.0,0.0,106,Product101,WINDOWS,PR100500,0.0,0.0
U100184,0.0,2.0,124,PR100513,WINDOWS,PR100513,0.0,0.0
U100185,1.0,1.0,109,Product101,ANDROID,Product101,0.0,0.0
U100186,0.0,3.0,57,PR100273,ANDROID,PR100273,0.0,0.0
U100187,1.0,3.0,334,PR100767,ANDROID,PR100767,3.0,21.0
U100188,5.0,4.0,203,PR100446,WINDOWS,PR100764,6.0,0.0
U100190,1.0,1.0,697,PR100279,WINDOWS,PR100279,1.0,0.0
U100191,4.0,7.0,86,PR100234,ANDROID,PR100234,7.0,1.0
U100192,0.0,0.0,121,Product101,WINDOWS,PR100166,0.0,0.0
U100193,1.0,4.0,371,PR100417,WINDOWS,PR100560,0.0,5.0
U100194,1.0,2.0,52,PR101111,ANDROID,PR101111,1.0,0.0
U100197,0.0,1.0,860,PR100459,MAC OS X,PR100459,0.0,0.0
U100198,2.0,6.0,480,PR100870,WINDOWS,PR100870,2.0,5.0
U100200,0.0,1.0,394,PR100298,WINDOWS,PR100298,0.0,0.0
U100203,1.0,1.0,281,PR100549,MAC OS X,PR101031,2.0,1.0
U100204,0.0,0.0,323,Product101,WINDOWS,PR100113,0.0,0.0
U100205,3.0,1.0,43,PR100023,WINDOWS,PR100023,3.0,5.0
U100207,2.0,5.0,141,PR100307,WINDOWS,PR100307,2.0,1.0
U100208,1.0,6.0,43,PR100225,MAC OS X,PR100225,2.0,4.0
U100209,1.0,3.0,183,PR100070,WINDOWS,PR100275,5.0,1.0
U100210,3.0,11.0,370,PR101062,WINDOWS,PR101062,4.0,4.0
U100211,1.0,4.0,52,PR100945,ANDROID,PR100945,1.0,1.0
U100213,1.0,2.0,177,PR100054,WINDOWS,PR100054,1.0,0.0
U100214,1.0,1.0,155,PR100116,WINDOWS,PR100359,1.0,1.0
U100215,0.0,0.0,163,Product101,LINUX,PR100037,0.0,0.0
U100216,0.0,1.0,863,Product101,MAC OS X,PR100135,0.0,0.0
U100217,1.0,3.0,269,PR100086,MAC OS X,PR100086,1.0,5.0
U100218,0.0,1.0,43,Product101,ANDROID,Product101,0.0,0.0
U100219,0.0,1.0,435,PR100433,WINDOWS,PR100316,0.0,0.0
U100220,4.0,9.0,497,PR100099,WINDOWS,PR100099,15.0,123.0
U100221,3.0,4.0,206,PR100182,ANDROID,PR100182,5.0,0.0
U100223,1.0,3.0,355,PR100745,WINDOWS,PR100745,0.0,80.0
U100224,1.0,1.0,63,PR100039,ANDROID,PR100039,1.0,0.0
U100225,0.0,1.0,1188,PR100432,MAC OS X,PR100432,0.0,0.0
U100226,1.0,1.0,160,PR100591,WINDOWS,PR100591,1.0,4.0
U100228,1.0,3.0,169,PR100352,ANDROID,PR100352,1.0,0.0
U100229,0.0,0.0,64,Product101,ANDROID,PR101273,0.0,0.0
U100231,4.0,10.0,123,PR100612,WINDOWS,PR100612,7.0,34.0
U100232,1.0,4.0,979,PR100182,WINDOWS,PR100182,2.0,4.0
U100233,1.0,4.0,238,PR100152,WINDOWS,PR100152,1.0,0.0
U100234,2.0,2.0,363,PR100113,WINDOWS,PR100113,3.0,2.0
U100235,2.0,1.0,1078,PR100438,WINDOWS,PR100438,3.0,1.0
U100236,0.0,1.0,263,PR100258,ANDROID,PR100258,0.0,0.0
U100238,0.0,2.0,277,PR100041,WINDOWS,PR100041,0.0,0.0
U100239,1.0,4.0,2047,PR100630,LINUX,PR100630,2.0,0.0
U100241,0.0,1.0,74,PR100166,ANDROID,PR100166,0.0,0.0
U100242,2.0,4.0,55,PR100593,ANDROID,PR100593,5.0,15.0
U100243,5.0,23.0,323,PR100616,ANDROID,PR100025,27.0,16.0
U100245,3.0,11.0,1866,PR100593,ANDROID,PR100094,20.0,16.0
U100246,2.0,1.0,307,PR100975,ANDROID,PR100975,2.0,0.0
U100248,2.0,2.0,1077,PR100182,ANDROID,PR100316,3.0,0.0
U100249,1.0,1.0,425,PR100788,ANDROID,PR100788,1.0,1.0
U100250,1.0,6.0,47,PR100534,WINDOWS,PR100534,0.0,2.0
U100251,1.0,1.0,1453,PR100047,WINDOWS,PR100118,1.0,0.0
U100255,5.0,3.0,73,PR100962,MAC OS X,PR100051,10.0,4.0
U100256,0.0,0.0,901,Product101,ANDROID,PR100413,0.0,0.0
U100257,1.0,1.0,101,PR100401,WINDOWS,PR100401,1.0,1.0
U100258,0.0,2.0,210,PR100166,WINDOWS,PR100044,0.0,0.0
U100259,4.0,14.0,1975,PR100025,ANDROID,PR100025,11.0,1.0
U100260,2.0,1.0,86,PR100369,ANDROID,PR100369,2.0,0.0
U100261,0.0,4.0,656,PR100017,WINDOWS,PR100017,0.0,0.0
U100262,1.0,1.0,49,PR100719,WINDOWS,PR100719,1.0,0.0
U100263,1.0,1.0,126,Product101,ANDROID,PR100486,0.0,2.0
U100264,4.0,1.0,308,PR100143,ANDROID,PR101637,5.0,0.0
U100265,1.0,3.0,547,PR100010,ANDROID,PR100010,1.0,0.0
U100266,2.0,8.0,103,PR100153,WINDOWS,PR100153,5.0,1.0
U100267,3.0,24.0,185,PR101042,WINDOWS,PR101707,56.0,660.0
U100268,5.0,9.0,934,PR100960,WINDOWS,PR100960,15.0,9.0
U100269,1.0,2.0,2118,PR100997,IOS,PR100997,2.0,1.0
U100270,1.0,2.0,451,PR100138,WINDOWS,PR100138,1.0,0.0
U100271,0.0,1.0,517,PR100226,ANDROID,PR100226,0.0,0.0
U100272,2.0,2.0,70,PR100498,ANDROID,PR100498,2.0,3.0
U100273,3.0,15.0,128,PR100060,WINDOWS,PR100060,5.0,4.0
U100274,5.0,10.0,186,PR102574,WINDOWS,PR100014,18.0,4.0
U100275,1.0,2.0,767,PR101680,ANDROID,PR101680,1.0,1.0
U100276,0.0,21.0,556,PR101085,WINDOWS,PR101085,0.0,0.0
U100277,0.0,0.0,210,Product101,WINDOWS,PR100060,0.0,0.0
U100278,3.0,3.0,664,PR100039,ANDROID,PR100039,3.0,0.0
U100279,4.0,4.0,192,PR101049,WINDOWS,PR101049,6.0,3.0
U100280,0.0,0.0,117,Product101,WINDOWS,PR100340,0.0,0.0
U100281,0.0,2.0,837,PR100806,ANDROID,PR100806,0.0,0.0
U100282,0.0,3.0,58,PR100126,WINDOWS,PR100126,0.0,0.0
U100283,0.0,0.0,296,Product101,WINDOWS,PR100850,0.0,0.0
U100284,1.0,2.0,53,PR100039,ANDROID,PR100039,1.0,0.0
U100286,0.0,1.0,836,Product101,LINUX,Product101,0.0,0.0
U100288,2.0,2.0,71,PR100039,ANDROID,PR100039,2.0,0.0
U100290,1.0,2.0,148,PR100137,MAC OS X,PR100137,0.0,11.0
U100291,2.0,2.0,47,PR100679,WINDOWS,PR100466,2.0,1.0
U100292,1.0,4.0,105,PR100301,WINDOWS,PR100301,1.0,3.0
U100293,1.0,5.0,369,PR100730,WINDOWS,PR100730,2.0,2.0
U100294,0.0,3.0,319,PR100416,WINDOWS,PR100416,0.0,0.0
U100295,1.0,2.0,727,PR100166,WINDOWS,PR100166,1.0,1.0
U100297,4.0,11.0,928,PR100206,WINDOWS,PR100206,10.0,1.0
U100298,1.0,1.0,52,PR100350,WINDOWS,PR100350,1.0,17.0
U100300,0.0,1.0,416,Product101,ANDROID,Product101,0.0,0.0
U100301,2.0,9.0,859,PR101169,WINDOWS,PR101169,10.0,12.0
U100302,6.0,43.0,1027,PR100722,MAC OS X,PR100811,27.0,32.0
U100303,1.0,1.0,122,PR101062,WINDOWS,PR101062,1.0,0.0
U100304,2.0,4.0,93,PR100097,MAC OS X,PR100501,6.0,32.0
U100305,1.0,1.0,638,PR100308,WINDOWS,PR100308,3.0,0.0
U100306,0.0,0.0,214,Product101,MAC OS X,PR100000,0.0,0.0
U100308,0.0,0.0,1499,Product101,MAC OS X,Product101,0.0,0.0
U100309,3.0,4.0,44,PR100102,ANDROID,PR100102,3.0,23.0
U100310,6.0,4.0,734,PR100113,WINDOWS,PR100113,7.0,132.0
U100311,0.0,2.0,286,PR100340,MAC OS X,PR100340,0.0,0.0
U100313,0.0,2.0,1037,PR101293,WINDOWS,PR101293,0.0,0.0
U100315,4.0,7.0,571,PR100044,WINDOWS,PR100044,4.0,2.0
U100316,4.0,10.0,71,PR100187,WINDOWS,PR100187,9.0,16.0
U100317,0.0,1.0,1725,PR100166,WINDOWS,PR100166,0.0,0.0
U100318,3.0,3.0,734,PR101273,WINDOWS,PR101273,5.0,0.0
U100319,2.0,5.0,2029,PR100098,ANDROID,PR100098,4.0,0.0
U100321,2.0,4.0,48,PR100615,WINDOWS,PR100615,2.0,1.0
U100323,3.0,2.0,373,PR101483,WINDOWS,PR101483,3.0,4.0
U100324,0.0,0.0,61,Product101,ANDROID,PR100401,0.0,0.0
U100328,1.0,1.0,78,PR100430,ANDROID,PR100430,3.0,0.0
U100329,2.0,4.0,290,PR100102,MAC OS X,PR100102,4.0,10.0
U100330,0.0,1.0,212,PR100020,WINDOWS,PR100020,0.0,0.0
U100331,1.0,1.0,86,PR100039,ANDROID,PR100039,1.0,1.0
U100333,1.0,2.0,390,PR100041,WINDOWS,PR100041,2.0,0.0
U100334,1.0,2.0,2231,PR102194,WINDOWS,PR102194,1.0,1.0
U100336,0.0,2.0,76,PR100017,WINDOWS,PR100017,0.0,0.0
U100337,1.0,9.0,174,PR100017,WINDOWS,PR100017,1.0,1.0
U100338,1.0,1.0,660,PR100498,ANDROID,PR100498,1.0,0.0
U100340,0.0,0.0,1040,Product101,MAC OS X,Product101,0.0,0.0
U100341,0.0,3.0,2257,PR101249,WINDOWS,PR100035,0.0,0.0
U100342,0.0,5.0,672,PR100988,WINDOWS,PR100988,0.0,0.0
U100343,1.0,3.0,132,PR101141,WINDOWS,PR101141,1.0,1.0
U100344,0.0,1.0,95,PR100017,WINDOWS,PR100017,0.0,0.0
U100345,1.0,1.0,43,Product101,WINDOWS,Product101,0.0,1.0
U100346,2.0,5.0,1767,PR101761,['ANDROID' 'WINDOWS'],PR101761,4.0,0.0
U100347,6.0,64.0,340,PR100070,MAC OS X,PR100486,305.0,6060.0
U100349,1.0,1.0,818,Product101,WINDOWS,PR100130,0.0,1.0
U100351,6.0,18.0,369,PR100908,WINDOWS,PR100908,19.0,167.0
U100352,0.0,0.0,386,Product101,WINDOWS,Product101,0.0,0.0
U100353,3.0,9.0,153,PR101911,WINDOWS,PR101911,3.0,6.0
U100354,4.0,17.0,803,PR100446,WINDOWS,PR100390,39.0,70.0
U100355,1.0,1.0,435,PR100676,ANDROID,PR100676,2.0,0.0
U100356,0.0,0.0,78,Product101,ANDROID,PR100023,0.0,0.0
U100358,1.0,1.0,199,PR100102,ANDROID,PR100102,1.0,0.0
U100359,1.0,1.0,359,PR101422,WINDOWS,PR101422,1.0,1.0
U100360,1.0,2.0,520,PR100938,ANDROID,PR100938,1.0,0.0
U100362,0.0,1.0,1109,PR100753,WINDOWS,PR100753,0.0,0.0
U100363,2.0,2.0,83,PR100073,ANDROID,PR100073,2.0,0.0
U100364,0.0,1.0,309,Product101,WINDOWS,Product101,0.0,0.0
U100365,1.0,3.0,534,PR100515,WINDOWS,PR100064,3.0,2.0
U100366,1.0,2.0,1582,PR100119,WINDOWS,PR100119,1.0,0.0
U100367,1.0,6.0,956,PR102165,WINDOWS,PR102165,1.0,0.0
U100368,0.0,0.0,56,Product101,WINDOWS,PR100321,0.0,0.0
U100369,0.0,3.0,350,PR100064,WINDOWS,PR100064,0.0,0.0
U100370,1.0,1.0,108,PR100085,WINDOWS,PR100312,2.0,0.0
U100371,0.0,0.0,79,Product101,ANDROID,Product101,0.0,0.0
U100372,0.0,0.0,821,Product101,ANDROID,PR100676,0.0,0.0
U100374,6.0,1.0,95,PR100166,WINDOWS,PR100166,37.0,0.0
U100375,1.0,1.0,48,PR100366,['ANDROID' 'WINDOWS'],PR100366,1.0,0.0
U100376,1.0,1.0,1654,Product101,WINDOWS,Product101,0.0,0.0
U100377,3.0,17.0,677,PR100743,WINDOWS,PR100743,3.0,27.0
U100378,1.0,1.0,291,PR100044,ANDROID,PR100044,1.0,0.0
U100379,1.0,2.0,1121,Product101,ANDROID,PR100102,0.0,2.0
U100380,3.0,1.0,717,PR100036,ANDROID,PR100036,4.0,0.0
U100381,3.0,4.0,49,PR101042,WINDOWS,PR101490,11.0,134.0
U100382,5.0,21.0,117,PR100226,WINDOWS,PR101355,12.0,44.0
U100383,5.0,11.0,177,PR100025,ANDROID,PR100025,11.0,1.0
U100384,0.0,3.0,56,PR100020,WINDOWS,PR100020,0.0,0.0
U100386,1.0,1.0,319,PR101058,WINDOWS,PR100771,1.0,0.0
U100387,3.0,7.0,103,PR101590,MAC OS X,PR100097,6.0,8.0
U100388,3.0,5.0,55,PR100182,ANDROID,PR100182,4.0,0.0
U100389,1.0,2.0,77,PR100654,LINUX,PR100654,1.0,0.0
U100390,3.0,19.0,78,PR100102,WINDOWS,PR100515,20.0,20.0
U100391,4.0,4.0,67,PR100200,WINDOWS,PR100200,6.0,5.0
U100394,3.0,6.0,213,PR100152,UBUNTU,PR100152,2.0,6.0
U100396,3.0,5.0,407,PR101062,WINDOWS,PR101062,4.0,0.0
U100397,0.0,0.0,115,Product101,WINDOWS,PR101865,0.0,0.0
U100398,5.0,29.0,666,PR101746,WINDOWS,PR101746,18.0,32.0
U100399,2.0,2.0,593,PR100369,ANDROID,PR100369,2.0,1.0
U100400,1.0,1.0,91,PR100036,WINDOWS,PR100036,1.0,0.0
U100401,0.0,3.0,1148,PR100498,WINDOWS,PR100498,0.0,0.0
U100402,1.0,1.0,69,PR100612,LINUX,PR100612,1.0,0.0
U100403,0.0,2.0,58,PR100141,ANDROID,PR100141,0.0,0.0
U100405,5.0,17.0,178,PR100890,WINDOWS,PR100890,15.0,3.0
U100406,2.0,2.0,52,PR100978,ANDROID,PR100025,2.0,2.0
U100407,1.0,9.0,641,PR100240,WINDOWS,PR100240,3.0,4.0
U100408,0.0,1.0,1198,Product101,WINDOWS,Product101,0.0,0.0
U100409,0.0,1.0,105,PR100102,WINDOWS,PR100102,0.0,0.0
U100410,6.0,18.0,872,PR100232,WINDOWS,PR100232,37.0,199.0
U100411,3.0,6.0,2257,PR100200,WINDOWS,PR100200,4.0,11.0
U100412,1.0,1.0,306,PR101216,WINDOWS,PR101216,1.0,0.0
U100413,1.0,2.0,382,PR100417,ANDROID,PR101760,1.0,0.0
U100414,1.0,3.0,90,PR100352,ANDROID,PR100352,2.0,1.0
U100415,1.0,1.0,60,Product101,WINDOWS,PR100551,0.0,1.0
U100416,1.0,1.0,387,PR100039,ANDROID,PR100039,1.0,0.0
U100417,3.0,3.0,192,PR100350,WINDOWS,PR100350,4.0,0.0
U100418,4.0,2.0,1754,PR100390,WINDOWS,PR100390,6.0,0.0
U100420,3.0,5.0,73,PR100792,WINDOWS,PR100792,7.0,0.0
U100421,1.0,2.0,53,PR100027,ANDROID,PR100027,1.0,0.0
U100422,1.0,1.0,291,PR100560,WINDOWS,PR100560,1.0,0.0
U100423,5.0,8.0,310,PR100044,WINDOWS,PR100390,18.0,11.0
U100425,3.0,9.0,81,PR100390,WINDOWS,PR100390,7.0,9.0
U100427,1.0,3.0,48,PR100070,MAC OS X,PR100070,1.0,1.0
U100428,1.0,1.0,1108,PR100200,ANDROID,PR100200,1.0,4.0
U100429,1.0,1.0,623,PR100047,WINDOWS,PR100047,1.0,0.0
U100430,1.0,0.0,79,Product101,WINDOWS,Product101,1.0,1.0
U100431,0.0,0.0,52,Product101,WINDOWS,PR100661,0.0,0.0
U100433,3.0,4.0,53,PR100182,ANDROID,PR100182,3.0,0.0
U100434,2.0,6.0,577,PR101166,WINDOWS,PR101166,7.0,31.0
U100435,0.0,0.0,382,Product101,ANDROID,PR100341,0.0,0.0
U100436,2.0,2.0,1518,PR100102,ANDROID,PR100102,5.0,0.0
U100439,4.0,1.0,168,PR100515,UBUNTU,PR100515,6.0,0.0
